titulo_completo,delito_artículo,delito_descripcion,tipo,codigo_delito
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 79,Homicidio simple,específico/general,CP.079.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 1,Homicidio agravado por el vínculo,específico,CP.080.0.01.01.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 2,Homicidio agravado por su modo de comisión,específico,CP.080.0.01.02.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 3,Homicidio agravado por precio o promesa remuneratoria,específico,CP.080.0.01.03.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 4,"Homicidio agravado por odio racial, religioso, etc.",específico,CP.080.0.01.04.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 5,Homicidio agravado por medio empleado,específico,CP.080.0.01.05.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 6,Homicidio agravado con el concurso premeditado de dos o más personas,específico,CP.080.0.01.06.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 7,Homicidio agravado criminis causae,específico,CP.080.0.01.07.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 8,"Homicidio agravado a miembro de seguridad, policial o penitenciaría",específico,CP.080.0.01.08.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 9,Homicidio agravado por la condición especial del autor,específico,CP.080.0.01.09.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 10,Homicidio agravado de un superior militar,específico,CP.080.0.01.10.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 11,Homicidio agravado por femicidio,específico,CP.080.0.01.11.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 1 Inc. 12,Homicidio agravado por femicidio vinculado,específico,CP.080.0.01.12.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 80 Pár. 2,Homicidio agravado,específico,CP.080.0.02.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 81 Inc. 1 Parte a,Homicidio en estado de emoción violenta,específico,CP.081.0.00.01.01
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 81 Inc. 1 Parte b,Homicidio preterintencional,específico,CP.081.0.00.01.02
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 82 Parte a,Homicidio en estado de emoción violenta agravado,específico,CP.082.0.00.00.01
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 82 Parte b,Homicidio preterintencional agravado,específico,CP.082.0.00.00.02
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 83,Instigación o ayuda al suicidio,específico/general,CP.083.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 84 Pár. 1,Homicidio culposo,específico,CP.084.0.01.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 84 Pár. 2,Homicidio culposo agravado por pluralidad de víctimas,específico,CP.084.0.02.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 84 bis Pár. 1,Homicidio culposo en accidente de tránsito,específico,CP.084.2.01.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 84 bis Pár. 2,Homicidio culposo agravado en accidente de tránsito,específico,CP.084.2.02.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 85,Aborto,general,CP.085.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 85 Inc. 1 Parte 1,Aborto sin consentimiento,específico,CP.085.0.00.01.01
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 85 Inc. 1 Parte 2,Aborto sin consentimiento seguido de muerte,específico,CP.085.0.00.01.02
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 85 Inc. 2 Parte 1,Aborto con consentimiento,específico,CP.085.0.00.02.01
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 85 Inc. 2 Parte 2,Aborto con consentimiento seguido de muerte,específico,CP.085.0.00.02.02
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 86,Aborto cometido por profesional,general,CP.086.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 86 Inc. 1 Parte 1,Aborto cometido por profesional sin consentimiento,específico,CP.086.0.00.01.01
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 86 Inc. 1 Parte 2,Aborto cometido por profesional sin consentimiento seguido de muerte,específico,CP.086.0.00.01.02
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 86 Inc. 2 Parte 1,Aborto cometido por profesional con consentimiento,específico,CP.086.0.00.02.01
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 86 Inc. 2 Parte 2,Aborto cometido por profesional con consentimiento seguido de muerte,específico,CP.086.0.00.02.02
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 87,Aborto preterintencional,específico/general,CP.087.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo I,Art. 88,"Aborto de la mujer, propio o consentido",específico/general,CP.088.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo II,Art. 89,Lesiones leves,específico/general,CP.089.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo II,Art. 90,Lesiones graves,específico/general,CP.090.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo II,Art. 91,Lesiones gravísimas,específico/general,CP.091.0.00.00.00
CPN - Título I - Delitos contra las personas/Capítulo II,Art. 92 Parte 1,Lesiones leves agravadas,general,CP.092.0.00.00.01
