provincia_nombre,provincia_id,institucion_nombre,variable_nombre,variable_periodo,variable_tipo_proceso,variable_duracion_dias,variable_cantidad
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,1,4920
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,2,944
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,3,218
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,4,122
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,5,96
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,6,69
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,7,77
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,8,57
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,9,43
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,10,38
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,11,33
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,12,26
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,13,36
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,14,26
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,15,41
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,16,27
Chubut,26,Ministerio Público Fiscal,Fecha inicio - Audiencia de imputación o declaración del imputado,2013 - 2017,Todos,17,16
